index,x,y,col,row,is_interpolated
7372,584406.4769162632,5789650.854456714,2264,2268,True
7373,584406.116020135,5789649.496627327,2264,2270,True
7374,584405.7551240068,5789648.138797941,2263,2272,True
7375,584405.3942278785,5789646.780968553,2263,2274,True
7376,584405.0333317503,5789645.423139167,2262,2276,True
7377,584404.6724356222,5789644.06530978,2262,2277,True
7378,584404.311539494,5789642.707480392,2262,2279,True
7379,584403.9506433657,5789641.349651006,2261,2281,True
7380,584403.5897472375,5789639.991821619,2261,2283,True
7381,584403.2288511093,5789638.633992232,2260,2285,True
7382,584402.867954981,5789637.276162845,2260,2287,True
7383,584402.5070588528,5789635.918333459,2259,2288,True
7384,584402.1461627246,5789634.560504071,2259,2290,False
7385,584401.7786926131,5789633.195644302,2258,2292,True
7386,584401.4112225015,5789631.830784532,2258,2294,True
7387,584401.0437523901,5789630.465924763,2257,2296,True
7388,584400.6762822785,5789629.101064994,2257,2298,True
7389,584400.308812167,5789627.736205224,2256,2299,True
7390,584399.9413420556,5789626.371345455,2256,2301,True
7391,584399.573871944,5789625.006485686,2255,2303,True
7392,584399.2064018325,5789623.641625916,2255,2305,True
7393,584398.8389317209,5789622.2767661465,2254,2307,True
7394,584398.4714616095,5789620.9119063765,2254,2309,True
7395,584398.103991498,5789619.547046607,2253,2311,True
7396,584397.7365213864,5789618.182186838,2253,2312,True
7397,584397.369051275,5789616.817327068,2252,2314,True
7398,584397.0015811634,5789615.452467299,2252,2316,True
7399,584396.6341110519,5789614.08760753,2251,2318,True
7400,584396.2666409404,5789612.72274776,2251,2320,True
7401,584395.8991708289,5789611.357887991,2250,2322,True
7402,584395.5317007174,5789609.993028222,2250,2324,True
7403,584395.1642306059,5789608.628168452,2249,2325,True
7404,584394.7967604944,5789607.2633086825,2249,2327,True
7405,584394.4292903829,5789605.898448913,2248,2329,True
7406,584394.0618202713,5789604.533589143,2248,2331,True
7407,584393.6943501598,5789603.168729374,2247,2333,True
7408,584393.3268800484,5789601.803869605,2247,2335,True
7409,584392.9594099368,5789600.439009835,2246,2336,True
7410,584392.5919398253,5789599.074150066,2246,2338,True
7411,584392.2244697138,5789597.709290296,2245,2340,True
7412,584391.8569996023,5789596.344430527,2245,2342,True
7413,584391.4895294908,5789594.979570758,2244,2344,True
7414,584391.1220593792,5789593.614710988,2244,2346,True
7415,584390.7545892678,5789592.249851218,2243,2348,True
7416,584390.3871191562,5789590.884991449,2243,2349,True
7417,584390.0196490447,5789589.520131679,2242,2351,True
7418,584389.6521789333,5789588.15527191,2242,2353,True
7419,584389.2847088217,5789586.790412141,2241,2355,True
7420,584388.9172387102,5789585.425552371,2241,2357,True
7421,584388.5497685986,5789584.060692602,2240,2359,True
7422,584388.1822984872,5789582.695832833,2240,2360,True
7423,584387.8148283757,5789581.330973063,2239,2362,True
7424,584387.4473582641,5789579.966113294,2239,2364,True
7425,584387.0798881527,5789578.601253524,2238,2366,True
7426,584386.7124180411,5789577.236393754,2238,2368,True
7427,584386.3449479296,5789575.871533985,2237,2370,True
7428,584385.9774778181,5789574.506674216,2237,2372,True
7429,584385.6100077066,5789573.141814446,2236,2373,True
7430,584385.2425375951,5789571.776954677,2236,2375,True
7431,584384.8750674835,5789570.412094907,2235,2377,True
7432,584384.507597372,5789569.047235138,2235,2379,True
7433,584384.1401272606,5789567.682375369,2234,2381,True
7434,584383.772657149,5789566.317515599,2234,2383,True
7435,584383.4051870375,5789564.9526558295,2233,2385,True
7436,584383.037716926,5789563.58779606,2233,2386,True
7437,584382.6702468145,5789562.22293629,2232,2388,True
7438,584382.302776703,5789560.858076521,2232,2390,True
7439,584381.9353065914,5789559.493216752,2231,2392,True
7440,584381.56783648,5789558.128356982,2231,2394,True
7441,584381.2003663685,5789556.763497213,2230,2396,True
7442,584380.8328962569,5789555.398637444,2230,2397,True
7443,584380.4654261455,5789554.033777674,2229,2399,True
7444,584380.0979560339,5789552.668917905,2229,2401,True
7445,584379.7304859224,5789551.3040581355,2228,2403,True
7446,584379.363015811,5789549.939198365,2228,2405,True
7447,584378.9955456994,5789548.574338596,2227,2407,True
7448,584378.6280755879,5789547.209478826,2227,2409,True
7449,584378.2606054763,5789545.844619057,2226,2410,True
7450,584377.8931353649,5789544.479759288,2226,2412,True
7451,584377.5256652534,5789543.114899518,2225,2414,True
7452,584377.1581951418,5789541.750039749,2225,2416,True
7453,584376.7907250304,5789540.38517998,2224,2418,True
7454,584376.4232549188,5789539.02032021,2224,2420,True
7455,584376.0557848073,5789537.655460441,2223,2422,False
7456,584375.6970347296,5789536.320393396,2223,2423,True
7457,584375.3382846519,5789534.985326352,2222,2425,True
7458,584374.9795345742,5789533.650259307,2222,2427,True
7459,584374.6207844965,5789532.315192263,2221,2429,True
7460,584374.2620344189,5789530.980125218,2221,2431,True
7461,584373.9032843411,5789529.645058174,2220,2432,True
7462,584373.5445342634,5789528.309991129,2220,2434,True
7463,584373.1857841858,5789526.974924084,2219,2436,True
7464,584372.8270341081,5789525.63985704,2219,2438,True
7465,584372.4682840303,5789524.304789995,2218,2440,True
7466,584372.1095339527,5789522.969722951,2218,2441,True
7467,584371.750783875,5789521.634655906,2217,2443,True
7468,584371.3920337973,5789520.299588861,2217,2445,True
7469,584371.0332837196,5789518.964521817,2216,2447,True
7470,584370.6745336419,5789517.629454772,2216,2449,True
7471,584370.3157835642,5789516.294387728,2215,2450,True
7472,584369.9570334866,5789514.959320683,2215,2452,True
7473,584369.5982834088,5789513.624253639,2214,2454,True
7474,584369.2395333311,5789512.289186594,2214,2456,True
7475,584368.8807832535,5789510.954119549,2214,2458,True
7476,584368.5220331758,5789509.619052505,2213,2459,True
7477,584368.163283098,5789508.28398546,2213,2461,True
7478,584367.8045330204,5789506.948918416,2212,2463,True
7479,584367.4457829427,5789505.613851371,2212,2465,True
7480,584367.087032865,5789504.278784327,2211,2467,True
7481,584366.7282827873,5789502.943717282,2211,2469,True
7482,584366.3695327096,5789501.608650237,2210,2470,True
7483,584366.0107826319,5789500.273583193,2210,2472,True
7484,584365.6520325543,5789498.938516148,2209,2474,True
7485,584365.2932824765,5789497.603449104,2209,2476,True
7486,584364.9345323988,5789496.268382059,2208,2478,True
7487,584364.5757823212,5789494.933315015,2208,2479,True
7488,584364.2170322435,5789493.59824797,2207,2481,True
7489,584363.8582821657,5789492.2631809255,2207,2483,True
7490,584363.499532088,5789490.9281138815,2206,2485,True
7491,584363.1407820104,5789489.593046837,2206,2487,True
7492,584362.7820319327,5789488.257979793,2205,2488,True
7493,584362.423281855,5789486.922912748,2205,2490,True
7494,584362.0645317773,5789485.587845703,2204,2492,True
7495,584361.7057816996,5789484.252778659,2204,2494,True
7496,584361.347031622,5789482.917711614,2203,2496,True
7497,584360.9882815442,5789481.58264457,2203,2497,True
7498,584360.6295314665,5789480.247577525,2202,2499,True
7499,584360.2707813889,5789478.912510481,2202,2501,True
7500,584359.9120313112,5789477.577443436,2201,2503,True
7501,584359.5532812334,5789476.242376391,2201,2505,True
7502,584359.1945311558,5789474.907309347,2200,2507,True
7503,584358.8357810781,5789473.572242302,2200,2508,True
7504,584358.4770310004,5789472.237175258,2199,2510,True
7505,584358.1182809226,5789470.902108213,2199,2512,True
7506,584357.759530845,5789469.567041169,2198,2514,True
7507,584357.4007807673,5789468.231974124,2198,2516,True
7508,584357.0420306897,5789466.896907079,2197,2517,True
7509,584356.6832806119,5789465.561840035,2197,2519,True
7510,584356.3245305342,5789464.22677299,2197,2521,True
7511,584355.9657804566,5789462.891705946,2196,2523,True
7512,584355.6070303789,5789461.556638901,2196,2525,True
7513,584355.2482803011,5789460.221571857,2195,2526,True
7514,584354.8895302234,5789458.886504812,2195,2528,True
7515,584354.5307801458,5789457.551437767,2194,2530,True
7516,584354.1720300681,5789456.216370723,2194,2532,True
7517,584353.8132799903,5789454.881303678,2193,2534,True
7518,584353.4545299127,5789453.546236634,2193,2535,True
7519,584353.095779835,5789452.211169589,2192,2537,True
7520,584352.7370297574,5789450.876102544,2192,2539,True
7521,584352.3782796796,5789449.5410355,2191,2541,True
7522,584352.0195296019,5789448.205968455,2191,2543,True
7523,584351.6607795242,5789446.870901411,2190,2544,True
7524,584351.3020294466,5789445.535834366,2190,2546,True
7525,584350.9432793688,5789444.200767322,2189,2548,True
7526,584350.5845292911,5789442.8657002775,2189,2550,False
7527,584350.2148309576,5789441.490274165,2188,2552,True
7528,584349.845132624,5789440.114848052,2188,2554,True
7529,584349.4754342905,5789438.73942194,2187,2556,True
7530,584349.1057359569,5789437.363995828,2187,2557,True
7531,584348.7360376234,5789435.988569715,2186,2559,True
7532,584348.3663392898,5789434.613143602,2186,2561,True
7533,584347.9966409563,5789433.237717491,2185,2563,True
7534,584347.6269426228,5789431.862291378,2185,2565,True
7535,584347.2572442893,5789430.486865265,2184,2567,True
7536,584346.8875459557,5789429.111439153,2184,2569,True
7537,584346.5178476222,5789427.736013041,2183,2570,True
7538,584346.1481492886,5789426.360586928,2183,2572,True
7539,584345.778450955,5789424.9851608155,2182,2574,True
7540,584345.4087526215,5789423.609734703,2182,2576,True
7541,584345.039054288,5789422.234308591,2181,2578,True
7542,584344.6693559544,5789420.858882478,2181,2580,True
7543,584344.2996576208,5789419.483456366,2180,2582,True
7544,584343.9299592873,5789418.108030253,2180,2583,True
7545,584343.5602609537,5789416.732604141,2179,2585,True
7546,584343.1905626202,5789415.357178029,2179,2587,True
7547,584342.8208642866,5789413.981751916,2178,2589,True
7548,584342.4511659532,5789412.606325803,2178,2591,True
7549,584342.0814676196,5789411.230899692,2177,2593,True
7550,584341.7117692861,5789409.855473579,2177,2595,True
7551,584341.3420709525,5789408.480047466,2176,2597,True
7552,584340.972372619,5789407.104621354,2176,2598,True
7553,584340.6026742854,5789405.729195241,2175,2600,True
7554,584340.2329759519,5789404.353769129,2175,2602,True
7555,584339.8632776183,5789402.9783430165,2174,2604,True
7556,584339.4935792848,5789401.602916904,2174,2606,True
7557,584339.1238809512,5789400.227490791,2173,2608,True
7558,584338.7541826176,5789398.852064679,2173,2610,True
7559,584338.3844842841,5789397.476638567,2172,2611,True
7560,584338.0147859505,5789396.101212454,2172,2613,True
7561,584337.645087617,5789394.725786341,2171,2615,True
7562,584337.2753892835,5789393.35036023,2171,2617,True
7563,584336.90569095,5789391.974934117,2170,2619,True
7564,584336.5359926164,5789390.599508004,2170,2621,True
7565,584336.1662942829,5789389.224081892,2169,2623,True
7566,584335.7965959493,5789387.84865578,2169,2624,True
7567,584335.4268976158,5789386.473229667,2168,2626,True
7568,584335.0571992822,5789385.0978035545,2168,2628,True
7569,584334.6875009487,5789383.722377442,2167,2630,True
7570,584334.3178026151,5789382.34695133,2167,2632,True
7571,584333.9481042816,5789380.971525217,2166,2634,True
7572,584333.578405948,5789379.596099105,2166,2636,True
7573,584333.2087076145,5789378.220672992,2165,2637,True
7574,584332.8390092809,5789376.845246879,2165,2639,True
7575,584332.4693109473,5789375.469820768,2164,2641,True
7576,584332.0996126139,5789374.094394655,2164,2643,True
7577,584331.7299142804,5789372.718968542,2163,2645,True
7578,584331.3602159468,5789371.34354243,2163,2647,True
7579,584330.9905176132,5789369.968116318,2162,2649,True
7580,584330.6208192797,5789368.592690205,2162,2651,True
7581,584330.2511209461,5789367.2172640925,2161,2652,True
7582,584329.8814226126,5789365.84183798,2161,2654,True
7583,584329.511724279,5789364.466411868,2160,2656,True
7584,584329.1420259455,5789363.090985755,2160,2658,True
7585,584328.7723276119,5789361.715559643,2159,2660,True
7586,584328.4026292784,5789360.34013353,2159,2662,True
7587,584328.0329309448,5789358.964707418,2158,2664,True
